"Huishoudens";"Type: Alleenstaande man";"Type: Alleenstaande vrouw";"Type: Meerpersoonshuishouden";"Type: Eenoudergezin";"Type: Paar, met kind(eren)";"Type: Paar, zonder kind"
"Bestedingscategorieën";"%";"%";"%";"%";"%";"%"
"Voedingsmiddelen";"9.4";"10.0";"11.4";"11.9";"11.9";"10.7"
"Alcoholhoudende dranken en tabak";"5.0";"2.8";"2.7";"2.7";"2.2";"3.3"
"Kleding en schoenen";"2.9";"4.7";"5.0";"5.0";"5.6";"4.3"
"Huisvesting, water en energie";"38.7";"40.6";"28.8";"33.7";"26.4";"30.5"
"Stoffering en huish. apparaten.";"4.0";"5.2";"5.5";"4.5";"5.5";"5.8"
"Gezondheid";"0.8";"1.5";"1.4";"1.5";"1.1";"1.7"
"Vervoer";"11.4";"7.8";"14.1";"10.1";"14.7";"14.2"
"Communicatie";"3.8";"3.7";"3.2";"4.2";"3.2";"3.0"
"Recreatie en cultuur";"8.5";"8.8";"10.0";"8.8";"10.0";"10.2"
"Onderwijs";"1.0";"1.2";"1.4";"2.6";"1.9";"0.5"
"Restaurants en hotels";"6.3";"4.8";"6.1";"5.1";"6.2";"6.2"
"Goede doelen";"0.4";"0.5";"0.4";"0.2";"0.3";"0.5"
"© Centraal Bureau voor de Statistiek, Den Haag/Heerlen 17-10-2017"
