"Huishoudens";"Hoofdkostwinner: Nederland";"Hoofdkostwinner: Westers land";"Hoofdkostwinner: Niet-westers land"
"Bestedingscategorieën";"%";"%";"%"
"Voedingsmiddelen";"11.0";"11.7";"10.7"
"Alcoholhoudende dranken en tabak";"3.0";"3.2";"2.4"
"Kleding en schoenen";"4.6";"4.4";"5.7"
"Huisvesting, water en energie";"31.4";"31.2";"32.0"
"Stoffering en huish. apparaten.";"5.5";"5.0";"4.5"
"Gezondheid";"1.4";"1.5";"0.8"
"Vervoer";"13.0";"13.0";"12.5"
"Communicatie";"3.3";"3.3";"4.0"
"Recreatie en cultuur";"9.9";"9.2";"8.7"
"Onderwijs";"1.3";"1.1";"2.3"
"Restaurants en hotels";"5.9";"6.6";"5.8"
"Goede doelen";"0.4";"0.3";"0.3"
"© Centraal Bureau voor de Statistiek, Den Haag/Heerlen 17-10-2017"
